Name,Creator,Mission Link,Intel JSON,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
Newcastle: Along the Tyne #11,GeordieLass,https://www.ingress.com/mission/2ee0b852687b4c449a6647907c0e05ae.1c,,Sequential,Banner,Newcastle: Along the Tyne,11,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=54.968952,-1.605021&z=19&pls=54.969038,-1.604296,54.969134,-1.60471_54.969134,-1.60471,54.968983,-1.605171_54.968983,-1.605171,54.969434,-1.60604_54.969434,-1.60604,54.968887,-1.605531_54.968887,-1.605531,54.968549,-1.605947"
Newcastle: Along the Tyne #12,GeordieLass,https://www.ingress.com/mission/ad9c1e94bf314e04862a5b4fe3f113a6.1c,,Sequential,Banner,Newcastle: Along the Tyne,12,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=54.968724,-1.607097&z=19&pls=54.968796,-1.606662,54.96939,-1.607324_54.96939,-1.607324,54.969361,-1.608005_54.969361,-1.608005,54.968626,-1.608255_54.968626,-1.608255,54.968617,-1.607652_54.968617,-1.607652,54.968381,-1.60691_54.968381,-1.60691,54.968037,-1.608195"
Newcastle: Along the Tyne #13,GeordieLass,https://www.ingress.com/mission/8b58fe313d8a4fbdb6f9b37b1a9c8148.1c,,Sequential,Banner,Newcastle: Along the Tyne,13,Hard Variety (Includes Mod/Link/Field),No,0,No,"https://www.ingress.com/intel?ll=54.968197,-1.606332&z=18&pls=54.968037,-1.608195,54.968381,-1.60691_54.968381,-1.60691,54.968617,-1.607652_54.968617,-1.607652,54.968626,-1.608255_54.968626,-1.608255,54.968796,-1.606662_54.968796,-1.606662,54.968549,-1.605947"
Newcastle: Along the Tyne #14,GeordieLass,https://www.ingress.com/mission/f799e8c0bf6840e7bae0b9a33dd7ca5f.1c,,Sequential,Banner,Newcastle: Along the Tyne,14,Hard Variety (Includes Mod/Link/Field),No,0,No,"https://www.ingress.com/intel?ll=54.969322,-1.604037&z=18&pls=54.968887,-1.605531,54.969434,-1.60604_54.969434,-1.60604,54.968983,-1.605171_54.968983,-1.605171,54.969134,-1.60471_54.969134,-1.60471,54.969038,-1.604296_54.969038,-1.604296,54.969369,-1.604063"
Newcastle: Along the Tyne #15,GeordieLass,https://www.ingress.com/mission/409211676b06432c86d0638d453383ad.1c,,Sequential,Banner,Newcastle: Along the Tyne,15,Hard Variety (Includes Mod/Link/Field),Yes (close),2,Yes (Research),"https://www.ingress.com/intel?ll=54.969507,-1.603307&z=18&pls=54.969943,-1.604688,54.970148,-1.605159_54.970148,-1.605159,54.969763,-1.603231_54.969763,-1.603231,54.969757,-1.60259"
Newcastle: Along the Tyne #16,GeordieLass,https://www.ingress.com/mission/bb819e5b814f4fcbbe50f7942934f3bc.1c,,Sequential,Banner,Newcastle: Along the Tyne,16,Hard Variety (Includes Mod/Link/Field),Yes (close),2,Yes (Research),"https://www.ingress.com/intel?ll=54.969916,-1.600938&z=18&pls=54.96996,-1.602121,54.970507,-1.601555_54.970507,-1.601555,54.970514,-1.601222_54.970514,-1.601222,54.970327,-1.600718_54.970327,-1.600718,54.97011,-1.600083"
Newcastle: Along the Tyne #17,GeordieLass,https://www.ingress.com/mission/5cff776ec00144a0b362a40b8df366dd.1c,,Sequential,Banner,Newcastle: Along the Tyne,17,Hard Variety (Includes Mod/Link/Field),No,0,No,"https://www.ingress.com/intel?ll=54.96983,-1.59784&z=18&pls=54.969177,-1.599455,54.969097,-1.598528_54.969097,-1.598528,54.969359,-1.598244_54.969359,-1.598244,54.969466,-1.597528_54.969466,-1.597528,54.970534,-1.60017_54.970534,-1.60017,54.970661,-1.599889"
Newcastle: Along the Tyne #18,GeordieLass,https://www.ingress.com/mission/0802abd4b2bc44f18ecd020c2ec231dc.1c,,Sequential,Banner,Newcastle: Along the Tyne,18,Hard Variety (Includes Mod/Link/Field),No,0,No,"https://www.ingress.com/intel?ll=54.970423,-1.596177&z=17&pls=54.970711,-1.59957,54.97064,-1.598977_54.97064,-1.598977,54.970639,-1.598655_54.970639,-1.598655,54.970682,-1.598659_54.970682,-1.598659,54.971068,-1.59836_54.971068,-1.59836,54.970933,-1.597894_54.970933,-1.597894,54.970834,-1.597599_54.970834,-1.597599,54.971228,-1.594737"
1/6 Gateshead Millennium Bridge,Muuske,https://www.ingress.com/mission/0c97570c2a8c4a2791752199b3924c91.1c,,Sequential,Banner,Gateshead Millennium Bridge,1,Easy Variety (Hack/Upgrade),No,0,No,"https://www.ingress.com/intel?ll=54.970674,-1.598192&z=19&pls=54.970834,-1.597599,54.970933,-1.597894_54.970933,-1.597894,54.971068,-1.59836_54.971068,-1.59836,54.970682,-1.598659_54.970682,-1.598659,54.970639,-1.598655_54.970639,-1.598655,54.97064,-1.598977"
2/6 Gateshead Millennium Bridge,Muuske,https://www.ingress.com/mission/c2c1095f9ce44f6ca04ce1bca9629e09.1c,,Sequential,Banner,Gateshead Millennium Bridge,2,Easy Variety (Hack/Upgrade),No,0,No,"https://www.ingress.com/intel?ll=54.970567,-1.599705&z=18&pls=54.970711,-1.59957,54.970661,-1.599889_54.970661,-1.599889,54.970534,-1.60017_54.970534,-1.60017,54.970327,-1.600718_54.970327,-1.600718,54.970514,-1.601222_54.970514,-1.601222,54.970507,-1.601555"
